nv;Datetime;pv_P;pv_Q;pv_Ep;pv_Eq
237;2024-01-03 11:30:00;0.06782627;0;0.0168208;0
238;2024-01-03 11:45:00;0.064320348;0;0.016518327;0
239;2024-01-03 12:00:00;0.069860516;0;0.016772608;0
240;2024-01-03 12:15:00;0.065607531;0;0.016933506;0
241;2024-01-03 12:30:00;0.064490636;0;0.016262271;0
242;2024-01-03 12:45:00;0.063090252;0;0.015947611;0
243;2024-01-03 13:00:00;0.056065857;0;0.014894514;0
244;2024-01-03 13:15:00;0.007970046;0;0.008004488;0
245;2024-01-03 13:30:00;0.12799595;0;0.016995749;0
246;2024-01-03 13:45:00;0.126010178;0;0.031750766;0
247;2024-01-03 14:00:00;0.124634113;0;0.031330536;0
248;2024-01-03 14:15:00;0.063235895;0;0.023483751;0
249;2024-01-03 14:30:00;0.057114562;0;0.015043807;0
250;2024-01-03 14:45:00;0.057059856;0;0.014271802;0
251;2024-01-03 15:00:00;0.057863435;0;0.014365411;0
252;2024-01-03 15:15:00;0.057861269;0;0.014465588;0
253;2024-01-03 15:30:00;0.057806604;0;0.014458484;0
254;2024-01-03 15:45:00;0.05816062;0;0.014495903;0
255;2024-01-03 16:00:00;0.058570632;0;0.014591407;0
256;2024-01-03 16:15:00;0.079528804;0;0.01726243;0
257;2024-01-03 16:30:00;0.136040019;0;0.026946103;0
258;2024-01-03 16:45:00;0.124140056;0;0.032522509;0
259;2024-01-03 17:00:00;0.12432719;0;0.031058406;0
260;2024-01-03 17:15:00;0.124748767;0;0.031134495;0
261;2024-01-03 17:30:00;0.123993124;0;0.031092736;0
262;2024-01-03 17:45:00;0.06925021;0;0.024155417;0
263;2024-01-03 18:00:00;0.058538143;0;0.015973544;0
264;2024-01-03 18:15:00;0.057812146;0;0.014543786;0
265;2024-01-03 18:30:00;0.056480783;0;0.014286616;0
266;2024-01-03 18:45:00;0.057333015;0;0.014226725;0
267;2024-01-03 19:00:00;0.057965804;0;0.014412352;0
268;2024-01-03 19:15:00;0.059000764;0;0.014620821;0
269;2024-01-03 19:30:00;0.092573095;0;0.018946732;0
270;2024-01-03 19:45:00;0.130778636;0;0.027918966;0
271;2024-01-03 20:00:00;0.123649001;0;0.031803455;0
272;2024-01-03 20:15:00;0.123656964;0;0.030913246;0
273;2024-01-03 20:30:00;0.122726767;0;0.030797966;0
274;2024-01-03 20:45:00;0.12308475;0;0.03072644;0
275;2024-01-03 21:00:00;0.065263945;0;0.023543587;0
276;2024-01-03 21:15:00;0.058822459;0;0.015510801;0
277;2024-01-03 21:30:00;0.05892522;0;0.01471846;0
278;2024-01-03 21:45:00;0.059486658;0;0.014801485;0
279;2024-01-03 22:00:00;0.061044788;0;0.015066431;0
280;2024-01-03 22:15:00;0.06018957;0;0.015154295;0
281;2024-01-03 22:30:00;0.077465435;0;0.017206876;0
282;2024-01-03 22:45:00;0.139864426;0;0.027166233;0
283;2024-01-03 23:00:00;0.12609664;0;0.033245133;0
284;2024-01-03 23:15:00;0.125766843;0;0.031482935;0
285;2024-01-03 23:30:00;0.125877055;0;0.031455487;0
286;2024-01-03 23:45:00;0.125294533;0;0.031396449;0
287;2024-01-04 00:00:00;0.11314732;0;0.029805232;0
288;2024-01-04 00:15:00;0.059185013;0;0.021541542;0
289;2024-01-04 00:30:00;0.059378994;0;0.014820501;0
290;2024-01-04 00:45:00;0.060311875;0;0.014961359;0
291;2024-01-04 01:00:00;0.059536729;0;0.014981075;0
292;2024-01-04 01:15:00;0.059306875;0;0.014855451;0
293;2024-01-04 01:30:00;0.058350794;0;0.014707209;0
294;2024-01-04 01:45:00;0.110458983;0;0.021101222;0
295;2024-01-04 02:00:00;0.128068611;0;0.029815949;0
296;2024-01-04 02:15:00;0.123699884;0;0.031471062;0
297;2024-01-04 02:30:00;0.124543304;0;0.031030399;0
298;2024-01-04 02:45:00;0.12471161;0;0.031156864;0
299;2024-01-04 03:00:00;0.124235255;0;0.031118358;0
300;2024-01-04 03:15:00;0.12472374;0;0.031119874;0
301;2024-01-04 03:30:00;0.085793285;0;0.026314628;0
302;2024-01-04 03:45:00;0.059855924;0;0.018206151;0
303;2024-01-04 04:00:00;0.059731577;0;0.014948438;0
304;2024-01-04 04:15:00;0.060227596;0;0.014994897;0
305;2024-01-04 04:30:00;0.059404051;0;0.014953956;0
306;2024-01-04 04:45:00;0.059079453;0;0.014810438;0
307;2024-01-04 05:00:00;0.13069121;0;0.023721333;0
308;2024-01-04 05:15:00;0.126941453;0;0.032204083;0
309;2024-01-04 05:30:00;0.125019126;0;0.031495072;0
310;2024-01-04 05:45:00;0.125136528;0;0.031269457;0
