nv;Datetime;MS_P;MS_Q;MS_Ep;MS_Eq
239;2024-01-03 12:00:00;295.5500984;0;76.31350675;0
240;2024-01-03 12:15:00;335.1029535;0;78.83163149;0
241;2024-01-03 12:30:00;344.5556019;0;84.95731943;0
242;2024-01-03 12:45:00;305.406095;0;81.24521212;0
243;2024-01-03 13:00:00;303.1058922;0;76.06399841;0
244;2024-01-03 13:15:00;161.0314321;22.25594169;58.01716554;2.781992711
245;2024-01-03 13:30:00;306.8998732;55.52691204;58.49141315;9.722856716
246;2024-01-03 13:45:00;304.2683307;62.41858121;76.39602549;14.74318666
247;2024-01-03 14:00:00;288.570285;58.26144276;74.10482697;15.085003
248;2024-01-03 14:15:00;275.8527099;54.02278988;70.55287437;14.03552908
249;2024-01-03 14:30:00;345.5127503;54.37985118;77.67068253;13.55033013
250;2024-01-03 14:45:00;306.678715;53.79506746;81.52393317;13.52186483
251;2024-01-03 15:00:00;289.2725643;51.59394073;74.49390992;13.17362602
252;2024-01-03 15:15:00;278.9554718;45.57602132;71.02850452;12.14624526
253;2024-01-03 15:30:00;298.254844;40.13383106;72.15128947;10.71373155
254;2024-01-03 15:45:00;277.9574732;38.88838844;72.02653965;9.88582695
255;2024-01-03 16:00:00;259.0488184;40.89519914;67.12578645;9.972948448
256;2024-01-03 16:15:00;229.3761926;38.45574692;61.05312639;9.918868258
257;2024-01-03 16:30:00;205.7966564;30.46834387;54.39660613;8.615511349
258;2024-01-03 16:45:00;212.5630681;31.21545805;52.29496557;7.71047524
259;2024-01-03 17:00:00;206.531495;30.67306091;52.38682039;7.736064869
260;2024-01-03 17:15:00;226.1760382;36.98563144;54.08844164;8.457336544
261;2024-01-03 17:30:00;232.0598879;34.86929168;57.27949076;8.98186539
262;2024-01-03 17:45:00;194.373416;27.38925629;53.30416299;7.782318496
263;2024-01-03 18:00:00;175.6772792;27.21061437;46.2563369;6.824983832
264;2024-01-03 18:15:00;167.1340036;26.26400975;42.85141035;6.684328015
265;2024-01-03 18:30:00;175.7380659;23.82275469;42.85900868;6.260845555
266;2024-01-03 18:45:00;183.6634269;22.34753629;44.9251866;5.771286372
267;2024-01-03 19:00:00;196.3599925;29.30435272;47.50292743;6.456486127
268;2024-01-03 19:15:00;216.5693957;33.95329385;51.61617353;7.907205822
269;2024-01-03 19:30:00;228.3698549;33.67180489;55.61740633;8.453137342
270;2024-01-03 19:45:00;190.0409067;27.83752209;52.3013452;7.688665873
271;2024-01-03 20:00:00;186.0999719;33.60651811;47.01760983;7.680505025
272;2024-01-03 20:15:00;182.4156731;29.32458512;46.06445563;7.866387903
273;2024-01-03 20:30:00;195.5314553;28.4118;47.24339105;7.217048139
274;2024-01-03 20:45:00;181.4869276;30.71459599;47.12729786;7.390799498
275;2024-01-03 21:00:00;174.8453791;29.85300253;44.54153833;7.570949815
276;2024-01-03 21:15:00;202.9700812;37.64017609;47.22693254;8.436647327
277;2024-01-03 21:30:00;216.9326691;36.40469049;52.48784378;8.832177868
278;2024-01-03 21:45:00;186.1248521;36.36892126;50.38219014;9.06974686
279;2024-01-03 22:00:00;152.3753992;34.86192088;42.31253141;8.903855268
280;2024-01-03 22:15:00;141.9159999;35.37481497;36.78642489;8.779591982
281;2024-01-03 22:30:00;159.4720515;30.91376485;37.67350643;8.286072477
282;2024-01-03 22:45:00;146.8294034;29.86454572;38.28768186;7.59728882
283;2024-01-03 23:00:00;127.346142;24.40994451;34.27194319;6.784311279
284;2024-01-03 23:15:00;145.6563093;30.96822856;34.12530642;6.922271635
285;2024-01-03 23:30:00;136.6082863;31.90449515;35.28307445;7.859090464
286;2024-01-03 23:45:00;116.8771101;24.87357613;31.68567455;7.09725891
287;2024-01-04 00:00:00;124.5218628;23.61684294;30.17487161;6.061302384
288;2024-01-04 00:15:00;124.0094233;20.33509309;31.06641076;5.493992004
289;2024-01-04 00:30:00;119.5593557;20.771935;30.44609738;5.138378512
290;2024-01-04 00:45:00;121.573564;25.78002166;30.14161496;5.818994583
291;2024-01-04 01:00:00;117.5261783;23.58944231;29.88746778;6.171182996
292;2024-01-04 01:15:00;131.5119678;22.5617086;31.12976826;5.768893864
293;2024-01-04 01:30:00;115.4496611;18.56821882;30.87020362;5.141240927
294;2024-01-04 01:45:00;131.3732426;24.98749913;30.85286296;5.444464744
295;2024-01-04 02:00:00;117.0671964;8.630072642;31.05505487;4.202196472
296;2024-01-04 02:15:00;130.3202427;13.28161537;30.92342989;2.738961002
297;2024-01-04 02:30:00;131.4037517;18.8472297;32.71549929;4.016105634
298;2024-01-04 02:45:00;109.3018917;20.46701092;30.08820542;4.914280077
299;2024-01-04 03:00:00;131.4383479;23.65193278;30.09252996;5.514867963
300;2024-01-04 03:15:00;142.6964817;27.99309836;34.2668537;6.455628893
301;2024-01-04 03:30:00;153.5228812;30.45577098;37.02742035;7.306108668
302;2024-01-04 03:45:00;148.1661631;28.44312505;37.71113053;7.362362004
303;2024-01-04 04:00:00;169.50302;30.76663152;39.70864788;7.401219571
304;2024-01-04 04:15:00;170.0442986;30.16544431;42.44341482;7.616509478
305;2024-01-04 04:30:00;136.7361909;27.85438228;38.34756118;7.252478323
306;2024-01-04 04:45:00;152.0535336;26.59335275;36.09871557;6.805966878
307;2024-01-04 05:00:00;152.0935892;23.3842216;38.01839036;6.247196793
308;2024-01-04 05:15:00;149.517084;25.50101257;37.70133415;6.11065427
309;2024-01-04 05:30:00;152.8485719;23.94860695;37.79570699;6.181202439
310;2024-01-04 05:45:00;168.4539734;27.35566037;40.16281817;6.413033415
311;2024-01-04 06:00:00;159.016671;19.60525867;40.93383055;5.87011488
312;2024-01-04 06:15:00;214.585261;24.62271378;46.7002415;5.528496557
313;2024-01-04 06:30:00;277.6958104;36.03126726;61.53513392;7.581747631
314;2024-01-04 06:45:00;282.9364546;38.26737504;70.07903312;9.287330287
315;2024-01-04 07:00:00;286.1365893;39.7554007;71.13413049;9.752846967
316;2024-01-04 07:15:00;306.0988391;49.82686402;74.02942855;11.2114382
317;2024-01-04 07:30:00;327.7983136;51.34749628;79.23714409;12.53579809
318;2024-01-04 07:45:00;333.1201486;50.17012292;82.61480778;12.6378578
319;2024-01-04 08:00:00;317.9489457;48.98429324;81.38363679;12.4054936
320;2024-01-04 08:15:00;347.3161844;52.98770889;83.15814126;12.77398614
321;2024-01-04 08:30:00;355.8395907;53.10538357;87.89447188;13.25507922
322;2024-01-04 08:45:00;357.2218015;50.87254998;89.13267403;12.99724169
323;2024-01-04 09:00:00;361.8449371;57.98205984;89.88334233;13.65878703
324;2024-01-04 09:15:00;352.3419684;63.02908347;89.27336319;15.17722192
325;2024-01-04 09:30:00;336.5044989;62.42231176;86.10580841;15.6814244
326;2024-01-04 09:45:00;335.9875361;60.26939574;84.06150438;15.33646344
327;2024-01-04 10:00:00;333.9303302;58.22238173;83.73973329;14.81147218
328;2024-01-04 10:15:00;348.5427392;56.85573372;85.30913368;14.38476443
329;2024-01-04 10:30:00;325.7586748;50.92050098;84.28767675;13.47202934
330;2024-01-04 10:45:00;334.2288695;56.29684345;82.49844304;13.40216805
331;2024-01-04 11:00:00;323.8335522;54.22676117;82.25780272;13.81545058
332;2024-01-04 11:15:00;349.3781039;56.69276424;84.15145701;13.86494068
333;2024-01-04 11:30:00;350.3206451;63.76121106;87.46234362;15.05674691
334;2024-01-04 11:45:00;333.7901817;58.66656544;85.51385334;15.30347206
335;2024-01-04 12:00:00;333.6403002;58.72209231;83.42881024;14.67358222
336;2024-01-04 12:15:00;353.7767751;54.01857774;85.92713442;14.09258376
337;2024-01-04 12:30:00;310.3449137;57.54876574;83.0152111;13.94591793
338;2024-01-04 12:45:00;335.4589916;52.91753256;80.72548816;13.80828729
339;2024-01-04 13:00:00;345.7384275;54.32219923;85.14967739;13.40496647
340;2024-01-04 13:15:00;330.2056663;53.44027703;84.49301173;13.47030953
341;2024-01-04 13:30:00;324.8668491;61.12041557;81.88406443;14.32008657
342;2024-01-04 13:45:00;314.3903137;59.00164461;79.90714535;15.01525752
343;2024-01-04 14:00:00;325.227865;51.22370727;79.95227233;13.77816898
344;2024-01-04 14:15:00;375.249104;47.60138264;87.55962112;12.35313624
345;2024-01-04 14:30:00;358.3793023;48.97585218;91.70355078;12.07215435
346;2024-01-04 14:45:00;343.1310835;50.18897912;87.68879822;12.39560391
347;2024-01-04 15:00:00;351.87757;48.14261082;86.87608169;12.29144874
348;2024-01-04 15:15:00;292.6951833;39.63329686;80.57159417;10.97198846
349;2024-01-04 15:30:00;238.3018952;36.06076806;66.37463482;9.514152222
350;2024-01-04 15:45:00;243.0992587;38.75634999;60.17514424;9.418324578
351;2024-01-04 16:00:00;233.2769054;37.83924024;59.54702051;9.574448779
352;2024-01-04 16:15:00;203.8469406;30.72065695;54.64048075;8.569987148
353;2024-01-04 16:30:00;200.4501935;31.96213455;50.53714177;7.835348936
354;2024-01-04 16:45:00;180.9274047;33.38881789;47.67219977;8.168869055
355;2024-01-04 17:00:00;180.3866546;35.15106178;45.1642574;8.567484959
356;2024-01-04 17:15:00;178.9254983;33.91526071;44.91401911;8.633290311
357;2024-01-04 17:30:00;183.4246556;38.78326525;45.29376924;9.087315744
358;2024-01-04 17:45:00;183.7933928;34.6167013;45.90225605;9.174995819
359;2024-01-04 18:00:00;190.0757784;32.74532117;46.7336464;8.420252809
360;2024-01-04 18:15:00;214.3559488;29.33655047;50.5539659;7.760233956
361;2024-01-04 18:30:00;189.2125197;31.94445358;50.44605856;7.660125507
362;2024-01-04 18:45:00;169.6286707;27.30608576;44.85514881;7.406317417
363;2024-01-04 19:00:00;168.0101874;25.70648978;42.20485727;6.626571942
364;2024-01-04 19:15:00;195.6930002;32.68379617;45.46289846;7.298785744
365;2024-01-04 19:30:00;198.0063316;37.51277033;49.21241648;8.774570813
366;2024-01-04 19:45:00;179.7718534;38.23759333;47.22227313;9.468795457
367;2024-01-04 20:00:00;190.2407939;37.94684512;46.25158091;9.523054806
368;2024-01-04 20:15:00;191.1779083;41.67367227;47.67733778;9.952564674
369;2024-01-04 20:30:00;186.4931509;40.36943335;47.2088824;10.2553882
370;2024-01-04 20:45:00;167.8682152;41.29227879;44.29517077;10.20771402
371;2024-01-04 21:00:00;174.4190692;40.20944359;42.78591055;10.1877153
372;2024-01-04 21:15:00;182.6357317;42.51204972;44.63185011;10.34018666
373;2024-01-04 21:30:00;198.7844693;44.18832858;47.67752513;10.83754729
374;2024-01-04 21:45:00;169.5775447;37.0811859;46.04525175;10.15868931
375;2024-01-04 22:00:00;143.7768408;34.5471499;39.16929819;8.953541975
376;2024-01-04 22:15:00;138.9221828;27.46717419;35.33737795;7.751790512
377;2024-01-04 22:30:00;135.7150189;22.53450806;34.3296502;6.250210281
378;2024-01-04 22:45:00;141.917936;32.34521053;34.70411936;6.859964823
379;2024-01-04 23:00:00;140.3258746;33.17904101;35.28047633;8.190531443
380;2024-01-04 23:15:00;148.58876;27.17707214;36.11432933;7.544514144
381;2024-01-04 23:30:00;147.7173261;26.4856946;37.03826077;6.707845843
382;2024-01-04 23:45:00;141.9799325;30.20993644;36.21215733;7.086953879
383;2024-01-05 00:00:00;131.4317974;31.07882292;34.17646624;7.661094919
384;2024-01-05 00:15:00;126.8973599;29.49329087;32.29114467;7.571514224
385;2024-01-05 00:30:00;128.3697065;32.97081831;31.90838331;7.808013648
386;2024-01-05 00:45:00;127.088368;31.65245247;31.93225932;8.077908848
387;2024-01-05 01:00:00;141.8505399;28.00201996;33.61736349;7.456809054
388;2024-01-05 01:15:00;137.9585409;30.76846273;34.97613511;7.346310337
389;2024-01-05 01:30:00;125.0515938;28.5482503;32.87626684;7.414589129
390;2024-01-05 01:45:00;140.6418784;30.64864746;33.21168403;7.399612221
391;2024-01-05 02:00:00;136.0666194;24.11365749;34.58856223;6.845288119
392;2024-01-05 02:15:00;100.6834283;12.22169976;29.59375597;4.541919657
393;2024-01-05 02:30:00;108.4056235;9.464382315;26.13613148;2.710760259
394;2024-01-05 02:45:00;160.3407426;27.12826789;33.59329577;4.574081275
395;2024-01-05 03:00:00;140.1872682;17.83715789;37.56600136;5.620678223
396;2024-01-05 03:15:00;153.7264527;24.2708325;36.73921512;5.263498799
397;2024-01-05 03:30:00;155.3063052;26.42732544;38.62909474;6.337269742
398;2024-01-05 03:45:00;152.5355766;26.65638711;38.48023522;6.635464069
399;2024-01-05 04:00:00;150.4950324;29.66552452;37.87882612;7.040238954
400;2024-01-05 04:15:00;116.0149032;26.20613651;33.31374195;6.983957628
401;2024-01-05 04:30:00;133.6041987;28.57118362;31.20238774;6.847165016
402;2024-01-05 04:45:00;127.9316413;29.2856351;32.69198;7.23210234
403;2024-01-05 05:00:00;120.8476719;29.06736903;31.09741414;7.402791656
404;2024-01-05 05:15:00;141.6420411;28.45760603;32.81121412;7.223705251
405;2024-01-05 05:30:00;138.3225091;17.3434093;34.99556877;5.725126916
