;Datetime;sg4_P;sg4_Q
270;2024-01-03 19:45:00;30.08007941;-1.062276417
271;2024-01-03 20:00:00;28.66185021;-1.394065944
272;2024-01-03 20:15:00;29.75927338;-1.474477469
273;2024-01-03 20:30:00;29.09461716;-1.132820559
274;2024-01-03 20:45:00;28.39344916;-1.252468352
275;2024-01-03 21:00:00;28.26435805;-1.330866434
276;2024-01-03 21:15:00;29.88397009;-1.036174774
277;2024-01-03 21:30:00;28.94793114;-1.20685985
278;2024-01-03 21:45:00;25.3731225;-1.152387143
279;2024-01-03 22:00:00;20.25309582;-0.614580251
280;2024-01-03 22:15:00;17.87467104;-1.049719317
281;2024-01-03 22:30:00;16.5333723;-1.131145821
282;2024-01-03 22:45:00;16.51522424;-0.911759275
283;2024-01-03 23:00:00;16.7950734;-1.392386658
284;2024-01-03 23:15:00;16.25474831;-0.924845712
285;2024-01-03 23:30:00;16.21539055;-0.639466966
286;2024-01-03 23:45:00;16.06669278;-1.122312772
287;2024-01-04 00:00:00;15.91705729;-1.089061141
288;2024-01-04 00:15:00;16.12080545;-0.578478418
289;2024-01-04 00:30:00;16.32330793;-0.739614458
290;2024-01-04 00:45:00;16.01586596;-0.582255136
291;2024-01-04 01:00:00;16.14312193;-0.717202807
292;2024-01-04 01:15:00;16.97103513;-0.425300293
293;2024-01-04 01:30:00;16.2577245;-0.445810773
294;2024-01-04 01:45:00;16.16549786;-0.653714041
295;2024-01-04 02:00:00;16.37664321;-1.054132313
296;2024-01-04 02:15:00;16.26574331;-1.027878696
297;2024-01-04 02:30:00;17.26736063;-0.556741306
298;2024-01-04 02:45:00;17.53350596;-1.099511487
299;2024-01-04 03:00:00;19.79727904;-0.840112683
300;2024-01-04 03:15:00;20.78109621;-1.470199728
301;2024-01-04 03:30:00;37.58524925;-0.251752474
302;2024-01-04 03:45:00;40.21971345;-0.148114953
303;2024-01-04 04:00:00;37.48787846;-0.616110104
304;2024-01-04 04:15:00;31.61041706;-0.636189242
305;2024-01-04 04:30:00;29.30766584;-0.695355339
306;2024-01-04 04:45:00;30.184193;-1.306652654
307;2024-01-04 05:00:00;30.17962908;-1.438934725
308;2024-01-04 05:15:00;29.27756207;-1.508241157
309;2024-01-04 05:30:00;29.18051966;-1.371339275
310;2024-01-04 05:45:00;28.9506957;-1.309395624
311;2024-01-04 06:00:00;36.84976285;-1.333721202
312;2024-01-04 06:15:00;61.58619232;-0.968845462
313;2024-01-04 06:30:00;69.76654584;-1.047818986
314;2024-01-04 06:45:00;60.21713043;-0.986666212
315;2024-01-04 07:00:00;56.97812108;-0.762688599
316;2024-01-04 07:15:00;54.23897008;0.479798082
317;2024-01-04 07:30:00;56.52966523;0.304748515
318;2024-01-04 07:45:00;49.93001668;0.032700232
319;2024-01-04 08:00:00;52.02286131;-0.142743344
320;2024-01-04 08:15:00;71.3328788;0.385209786
321;2024-01-04 08:30:00;79.69687754;1.204236759
322;2024-01-04 08:45:00;76.57427713;1.729403661
323;2024-01-04 09:00:00;74.03602201;3.681573244
324;2024-01-04 09:15:00;74.99147839;5.573577915
325;2024-01-04 09:30:00;74.25588535;6.002731976
326;2024-01-04 09:45:00;75.51420722;5.450283887
327;2024-01-04 10:00:00;70.3990022;6.960942456
328;2024-01-04 10:15:00;64.07237505;8.357052036
329;2024-01-04 10:30:00;64.17818974;8.114348977
330;2024-01-04 10:45:00;60.79842695;6.357280551
331;2024-01-04 11:00:00;65.07609207;3.067760195
332;2024-01-04 11:15:00;87.16523554;4.184959045
333;2024-01-04 11:30:00;92.65206163;6.80779377
334;2024-01-04 11:45:00;71.91034364;4.770984447
335;2024-01-04 12:00:00;72.57814982;5.600668498
336;2024-01-04 12:15:00;71.22289868;4.510434611
337;2024-01-04 12:30:00;72.67625693;7.690407623
338;2024-01-04 12:45:00;72.55291525;4.821516697
339;2024-01-04 13:00:00;73.25107269;7.828873512
340;2024-01-04 13:15:00;73.67258813;7.010936309
341;2024-01-04 13:30:00;66.6991602;1.875549383
342;2024-01-04 13:45:00;72.2639008;4.781764604
343;2024-01-04 14:00:00;66.99953842;2.236845742
344;2024-01-04 14:15:00;67.49347704;1.195273133
345;2024-01-04 14:30:00;68.58429097;1.868579643
346;2024-01-04 14:45:00;70.38943953;2.811562561
347;2024-01-04 15:00:00;67.95627538;2.193711473
348;2024-01-04 15:15:00;68.78084234;1.593502491
349;2024-01-04 15:30:00;62.33083266;-0.081718772
350;2024-01-04 15:45:00;58.60094966;-0.217245906
351;2024-01-04 16:00:00;53.08158403;-0.163379105
352;2024-01-04 16:15:00;20.48793388;-0.899878622
353;2024-01-04 16:30:00;18.95795434;-0.532895416
354;2024-01-04 16:45:00;18.45121609;-0.980131698
355;2024-01-04 17:00:00;18.17710141;-0.757092463
356;2024-01-04 17:15:00;4.164662247;-1.119650802
357;2024-01-04 17:30:00;3.659596949;-0.888876099
358;2024-01-04 17:45:00;13.59944732;-2.38125755
359;2024-01-04 18:00:00;14.88312427;-2.368624848
360;2024-01-04 18:15:00;14.92345757;-2.566904124
361;2024-01-04 18:30:00;14.96896827;-2.399054128
362;2024-01-04 18:45:00;14.83530171;-2.564431321
