;Datetime;pv_P;pv_Q
277;2024-01-03 21:30:00;0.05892522;0
278;2024-01-03 21:45:00;0.059486658;0
279;2024-01-03 22:00:00;0.061044788;0
280;2024-01-03 22:15:00;0.06018957;0
281;2024-01-03 22:30:00;0.077465435;0
282;2024-01-03 22:45:00;0.139864426;0
283;2024-01-03 23:00:00;0.12609664;0
284;2024-01-03 23:15:00;0.125766843;0
285;2024-01-03 23:30:00;0.125877055;0
286;2024-01-03 23:45:00;0.125294533;0
287;2024-01-04 00:00:00;0.11314732;0
288;2024-01-04 00:15:00;0.059185013;0
289;2024-01-04 00:30:00;0.059378994;0
290;2024-01-04 00:45:00;0.060311875;0
291;2024-01-04 01:00:00;0.059536729;0
292;2024-01-04 01:15:00;0.059306875;0
293;2024-01-04 01:30:00;0.058350794;0
294;2024-01-04 01:45:00;0.110458983;0
295;2024-01-04 02:00:00;0.128068611;0
296;2024-01-04 02:15:00;0.123699884;0
297;2024-01-04 02:30:00;0.124543304;0
298;2024-01-04 02:45:00;0.12471161;0
299;2024-01-04 03:00:00;0.124235255;0
300;2024-01-04 03:15:00;0.12472374;0
301;2024-01-04 03:30:00;0.085793285;0
302;2024-01-04 03:45:00;0.059855924;0
303;2024-01-04 04:00:00;0.059731577;0
304;2024-01-04 04:15:00;0.060227596;0
305;2024-01-04 04:30:00;0.059404051;0
306;2024-01-04 04:45:00;0.059079453;0
307;2024-01-04 05:00:00;0.13069121;0
308;2024-01-04 05:15:00;0.126941453;0
309;2024-01-04 05:30:00;0.125019126;0
310;2024-01-04 05:45:00;0.125136528;0
311;2024-01-04 06:00:00;0.123413012;0
312;2024-01-04 06:15:00;0.123383067;0
313;2024-01-04 06:30:00;0.122264866;0
314;2024-01-04 06:45:00;0.121480887;0
315;2024-01-04 07:00:00;0.081680763;0
316;2024-01-04 07:15:00;0.05757766;0
317;2024-01-04 07:30:00;0.057395044;0
318;2024-01-04 07:45:00;0.056482848;0
319;2024-01-04 08:00:00;0.056861831;0
320;2024-01-04 08:15:00;0.057181962;0
321;2024-01-04 08:30:00;0.1319381;0
322;2024-01-04 08:45:00;0.124597593;0
323;2024-01-04 09:00:00;0.123694066;0
324;2024-01-04 09:15:00;0.123940793;0
325;2024-01-04 09:30:00;0.124471237;0
326;2024-01-04 09:45:00;0.124164972;0
327;2024-01-04 10:00:00;0.089002087;0
328;2024-01-04 10:15:00;0.057593962;0
329;2024-01-04 10:30:00;0.057198928;0
330;2024-01-04 10:45:00;0.057447421;0
331;2024-01-04 11:00:00;0.057463897;0
332;2024-01-04 11:15:00;0.057768599;0
333;2024-01-04 11:30:00;0.058083322;0
